AGUIAR, RAYMOND J
ALMEIDA, EDWARD J
ALMEIDA, DENNIS
ALMEIDA, ROBERT J
ALVES, DIAMOND
AMARAL, ANTONIO JR
ANNUNZIATA, LOUIS
ALYSWORTH HARLOD M JR
BARRETT, CHARLES
BARRY, JOHN H
BARRY, ROBERT J
BARTLETT, RONALD
BEAULIEU, GIRARD N
BEDARD, DONALD D
BEDARD, EDMOND L
BENN, WILLIAM C
BENTO, JOSEPH M
BETTENCOURT, JOHN J
BETTENCOURT, VITAL S
BILOTTI, ALFRET
BOLVIN, ROBERT J
BOTELHO, DENNIS A
BOUDREAU, ALBERT E
BUFFARD, LIONEL A
BOULANGER, DONALD J
BOULANGER, ROLAND
BOYER, RAYMOND
BROCHU, CHARLES E JR
BROUILLETTE, ROSARIO A
BROWN, ARTHUR W
BRULE, AMBROSE A
BRYDEN, JOHN P
BUCKO, THEODORE W
BUCKO, THEODORE W
BUFFINGTON, JAMES B
BURKE, ARTHUR E
BURNS, GEORGE W
BURNS, WILLIAM
CAMARA, RAMON F
CAMARA, ROGER J
CAMARA, RONALD R
CAMBIO, JOHN
CAMBROLA, ANTHONY L
CAMBROLA, HOWARD
CAMBROLA, MICHAEL A
CARELLO, JOSEPH R
CARIGLIA, MICHAEL A
CARLONE, MATTY J JR
CARVALHO, RICHARD
CARVALHO, ROLAND
CATALFANO, JOSEPH D
CHAUVIN, HARVEY A
CHAUVIN, ROGER G
CINIGLIO, HENRY
COCCIA, BENJAMIN J
COLEDA, THOMAS
CORREIA, GEORGE M
CORREIA, HENRY R
CORREIA, JAMES R
COSTA, ALFRED F
COSTA, FRANK J JR
COSTA, JOSEPH JR
COTE, ALBERT J
CUMMINS, EUGENE J
DAVOL, WILLIAM E
DEBLOIS, KENNETH W
DEBLOIS, KENNETH W
DESLAURIES, GEORGE JR
DION, VICTOR E
DOHERTY, JAMES V
DUTRA, EDWARD
DYER, RAYMOND G
EMMETT, RICHARD
ERNEST, JIM T
ESKIBORN, LOUIS J
FERREIRA, EDWARD J
FERREIRA, JOSEPH R
FERRI, ALBERT A
FIGUREID, RONALD,*
FLEET, ROGER J
FLETCHER, JOHN A II,*
GALUPPO, ALPHONSE
GALUSKA, FEDERICK
GARAFA, FRANK C
GARDNER, DANIEL A
GASPARRO, JAMES V
GEBSKI, LESTER H
GOMES, JOSEPH M
GREENE, JOHN C
GREENE, WALTER R
GREENWOOD, RONALD P
GRENIER, JOHN P
HARVEY, JOSEPH F
HEAD, ROBERT R
HENNEBERRY, JAMES M
HEUBERGER, JOSEPH E
HOWARD, LESLIE B
IEVOLINO, ADAM J
IERVOLINO, MICHAEL A
IERVOLINO, MICHAEL J
IERVOLINO, RALPH J
IVRVOLINO, THOMAS J
INCOLLINGO, FIDELE
JAMIEL, EDWARD A
JAMIEL, MORPHIS A
JARVIS, JOHN E
JAWORSKI, STANLEY
JAWORSKI, WALTER J JR
JOLY, MARCIUS P
JOVIN, ROBERT J
KAISER, EDWARD A
KARCZ, JOHN J JR
KEE, RALSTON
KITTELL, ROBERT F
KRAWCZYK, GREGORY J
LANDGRAF, CHARLES S
LANGELLO, JOHN J JR
LANQUE, ROBERT A
LANOUE, ROBERT E
LANOUE, VINCENT O
LEAHY, JOHN J
LEAHY, MICHAEL E
LECLERIC, ROBERT C
LEFEBVRE, GEORGE W
LEPAGE, DONALD
LEPAGE, ROBERT
LEPAGE, WILFRED J
LESCAULT, DONALD R
LESCAULT, LEO P
LOMBARDI, JOHN
LOWNEY, JOSEPH
MACDOUGALL, WARREN J
MACOMBER, STANLEY B JR
MANCHESTER, ALAN
MANNING, HARRY B
MARTEL, ALCIDE G
MASSA, BIAGIO N
MASSED, MILEY T
MASTRATI, PETER S
MASUD, GEORGE A
MAYHEW, ROBERT
MCCANNA, JAMES R JR
MCMAHON, JOHN S
MEDEIROS, DAVID J
MELLO, FREDERICK J
MELLO, RICHARD K
MOGAYZEL, CHARLES K
MOGAYZEL, JOHN W
MONIZ, MANUEL V JR
MOREN, GEORGE M
MORRIL, KENNETH W
MUCCINO, DAVID H
O'BRIEN, GERALD
O'DONNELL, DONALD J
O'DONNELL, HARVEY A
OLIVER, LEONARD J
OLSZOWY, FRANCES F
OVERWOOD, GARLAND A
PACHECO, ARTHUR J
PACHECO, RICHARD P
PAQUIN, RICHARD P
PARE, ALBERT O
PARENT, NORMAND A
PATTIE, EARL G
PATTIE, JOSEPH E
PATTON, ARTHUR, E JR
PELCHAT, JOSEPH N
PERRY, ALTON
PIMENTAL, JOSEPH
PINE, RAYMOND
PLAMONDON, LUCIEN V
PLANTE, RAYMOND V
POISSANT, ALBERT
POISSANT, ARTHUR J
POITRAS, HENRY J
POLACK, FEDERICK W
POLANSKI, PAUL
QUINTIN, ROBERT
