ABBOT, CHARLES W JR
ACKERMAN, SAMUEL
AINSWORTH, HAROLD
ALLETAG, OTTO J
ALLETAG, RUDOLPH
AMEDEE, NAPOLEON F
AMEDEE, WILFRED
ANDEROZZI, PRIMO S
ANDRUZESKI, METRO
AREL, DONAT P
ASSELIN, ALBERT J
ASSELIN, ERNEST A
ASSELIN, HECTOR
ATCHESON, EDWARD
ATKINSON, EDWIN T
AUBIN, ALBERT
AUBIN, ALDEGE
AUBIN, CLIFFORD
AUBIN, JOSEPH O,*
AUBIN, OVIDE
AUBIN, WILFRED
AUGUST, JOHN
ALYSWORTH, HAROLD
BABCOCK, JOSEPH
BACKHOUSE, ALBERT L
BACON, HENRY
BARTOSEWITZ, VINCENT
BAXTER, ALBERT
BAXTER, WILLIAM H
BEAUCHANE, ALFRED
BEAUPARLANT, ARTHUR J
BEAUPRE, HARVEY
BELANGER, JOSEPH T
BERGERON, GERNON G
BERNATCHEZ, GERARD
BERNATCHEZ, JOSEPH S
BERNATCHES, TELESFORD
BESAW, GEORGE E JR
BESSETTE, ROSARIO
BILEDEAU, EUGENE JR
BLAIS, EMILE
BLOUIN, ALBERT A
BLOUIN, LEO J
BLOUNT, BYRON B
BOENIGER, HENRY
BOENIGER, JOHN B
OSWORTH, BENJAMIN M
BOUCHARD, ARTHUR J
BOUCHARD, EDWARD
BOUCHER, HENRY
BOUFFARD, ALBERT J
BOUFFARD, ISAAC
BOUFFARD, LEO
BOUFFARD, SIMON
BOURASSA, JOSEPH R
BOURASSA, LEO
BOUTIN, OMER E
BOUTIN, WILFRED J
BOWEN, HAROLD C
BOWEN, JOSEPH H
BOYD, JOHN F
BOYD, RAYMOND
BOYSDALE, EDWARD
BROCHU, ALEXANDER
BROCHU, NAPOLEON
BROCHU, OVILA
BROCHU, WILLIAM J
BROULETTE, ROBERT N
BROWN, HAROLD J
BROWN, MARTIN R
BROWN, WALTER E
BROWNE, FREDERICK H
BUCKINGHAM, BUELL N
BUFFINGTON, DAVID P
BURNS, JOHN
BUTLER, JOSEPH
BUTTERWORTH, HEZEKIAN S
BUTTERWORTH, THOMAS J
CAMPBELL, JOHN H
CARR, WILLIAM J
CASALA, RALPH
CAVANAUGH, WILFRED
CERICOLA, VINCENT,*
CHAUVIN, OLIVER
CHRISTY, HARRISON S.
CLARK, RAYMOND
CLOUTIER, EDWARD
CLOUTIER, ERNEST J
CLOUTIER, JOHN
CLOUTIER, THOMAS
COCCIA, LUGI
COLE, CHARLES B
COLE, KENNETH C
COLLAMORE, JOHN II
COLLIER, THOMAS
COLLINS, EDWARD
COLLINS, JOHN J
COLLINS, THOMAS
COLOGNE, ADOLF
COLOGNE, LOUIS
CONLEY, JOHN E SR
CONLEY, WILLIAM M
CONRICK, EDWARD J
CONRICK, JOHN
CONTOIS, LEO
COOK, ERNEST S
COOK, LEGER D
COOK, LLEWELYN
COOK, MORRIS H
COOK, WILLIAM H
CORCORAN, MARIE V
CORCORAN, ROSE M
COREY, JOHN
COSTA, JOHN S
COTE, ALFRED J,*
COTE, ERNEST
COTE, JOSEPH
COTE, ULRIC
COULOMBE, NAPOLEAN P
CREIGTON, FRED SR
CREPEAU, ALFRED
CURLEY, HUGH
D'ALBERGARIA, FIRMO
DALLAIRE, HENRY T
DALLAIRE, ROMEO
DALPE, ARTHUR
DATTOLI, JOHN B
DEBLOIS, LAWRENCE
DEMELLO, JOSEPH
DERMONT, JOHN
DESILETS, HENRY E
DESILETS, LEGER
DESMARAIS, ALBERT
DESILETS, HENRY E
DESILETS, LEGER
DESMARAIS, ALBERT
DESMARAIS, JOSEPH
DIAZ, CESAIRO, JR
DINIZ, JACINTHE F
DION, ALBERT J
DION, ALFRED M
DION, EMILE
DION, JOHN
DION, JOSEPH L JR
DORAN CHARLES J
DRAINVILLE, EMILE
DRAINVILLE, HECTOR
DRAINVILLE, JOSEPH E
DROWNE, FREDERICK P
DRYSDALE, CHARLES G.
DRYSDALE, EDWARD
DRYSDALE, WILLIAM JR
DUBE, ALPHONSO J
DUBOIS ALFRED J
DUBOIS CHARLES W.
DUBOIS, LOUIS
DUBUQUE, WILLIAM
DUCKWORTH, CHARLES G
DUMONT, JOHN
EATON, HOWARD H
EKMAN, CARL
EMMETT, ROBERT J
ENNIS, EDWARD J
ENNIS, JULIAN
FAINE, PORTER
FLAGG, EDMUND
FLEET, SAMUEL H
FLETCHER, PAUL W
FOREST, WILLIAM E
FORTIER, DONAT
FORTIN, ARTHUR J
FORTIN, GEORGE
FORTORA, DOMENIC
FOURNIER, ADELARD
FOURNIER, JOSEPH
FOURNIER, MEDERIC J,*
FRAZER, MANUEL
FREELOVE, LESTER G
GAGNON, GEORGE J
GALAWSZKA, HENRY
GAMAGE, CHARLES B
GANCZ, JOHN
GARCEAU, AMDEE J
GARCEAU, HENRY G
GARDNER, PAUL A
GAREIS, ERNEST
GARVIN, GEORGE J
GASPARRO, CARMINE
GAUNTLETT, WALTER D
GAUTHIER, ALBERT J
GAUVIN, OLIVER
GELINAS, CHARLES
GELINAS, WELFRED
GEORGE, STEVE
GIGUERE, EDWARD
GILDERT, JOHN A
GILL, AUSTIN C
GILLAN, JAMES
GILLON, WILLIAM
GILMOUR, JOHN
GIRARD, EUGENE J
GIRARDI, JOSEPH
GLANCY, WALTER
GOFF, NATHAN D
GOFF, RUFUS H
GOLOSKIE, ALBERT
GOLOSKIE, CHARLES
GOLOSKIE, JOHN
GONZENBACH, WALTER
GOULET, LUCIEN O
GOURLEY, HUGH
GOVER, RUSSELL
GRACYALNY, JOHN
GRANGER, EUCIDE B
GRAVES, ELMER A
GREENHAIGH, HARRY
GRIFFITH, BENJAMIN F
GRIFFITH, ROBERT F
GURRY, ELLIS T
HAFLIGER, CHARLES
HAFLIGER, FRITZ
HAFLIGER, JOHANNES
HALL, BENJAMIN M
HALL, JOHN R
HALL, PRESTON I JR
HALL, WILLIAM B JR
HAMEL, BRUNO A
HARRIS, GEORGE
HEALY, JOHN
HEALY, JOSEPH H,*
HICKEY, JOSEPH
HIGGINS, CHARLES E
HIGGINS, EDWARD J
HIGGINS, JOHN A,*
HODGINS, CHARLES E
HODSON, ERNEST B
HOLMES, CHARLES W
HORNER, HARRY J
HOWARD, DAVID R
HOWLAND, HENRY R
INCOLLINGO, SABATINO
JACOB, RUSSELL
JANNITTO, GAETANO
JANNITTO, JOHN J
JEREKS, JOHN
JARVIS, ANTONIO
JAWOREK, ANDREW
